Rxns,L-arabinose,L-arabinose.1,L-arabinose.2,D-fructose,D-fructose.1,D-fructose.2,D-galactose,D-galactose.1,D-galactose.2,D-galacturonic acid,D-galacturonic acid.1,D-galacturonic acid.2,D-glucose,D-glucose.1,D-glucose.2,D-glucuronic acid,D-glucuronic acid.1,D-glucuronic acid.2,D-mannose,D-mannose.1,D-mannose.2,L-rhamnose,L-rhamnose.1,L-rhamnose.2,D-xylose,D-xylose.1,D-xylose.2,Kruskal-Wallis p-value
10FTHFGLULL,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0010502997311105284
13BGH,0.0024132602959901,0.0024132602959901,0.0024132602959901,0.0038281366622057,0.0038281366622057,0.0038281213369574,0.0038280611808244,0.0038281253617474,0.0038281253617474,0.0022222470311152,0.002222138716155,0.0022221426825657,0.0038280550479291,0.0038280550479291,0.0038280550479291,0.0031830813698356,0.0031831063702341,0.0031830813698356,0.0038281895231821,0.003828061161338,0.0038280611613814,0.0036793700862542,0.0036793700862522,0.0036793700862522,0.0025135201020683,0.002513341584978,0.0025133943145613,0.001502884894402016
2MBALDt_b,0.0005097949057431,0.0005097949057431,0.0005097949057431,0.0007500545777291,0.0007500545777291,0.0008500519753539,0.0007500417602616,0.0007500526588021,0.0007500526588021,0.0004773590085441,0.0004773406156178,0.0004773412891526,0.0007500407188367,0.0007500407188367,0.0007500407188367,0.0007405179590829,0.000640522204392,0.0007405179590829,0.0007500635540334,0.0007500417569526,0.0007500417569599,0.0007078116105227,0.0007078116105223,0.0007078116105223,0.0005098390233244,0.0005098087093983,0.0005098176633908,0.001465933884028155
2MBALDt_f,0.0006086315621363,0.0006086315621363,0.0006086315621363,0.0009654676707113,0.0009654676707113,0.0009654638056373,0.0009654486340782,0.0009654648207015,0.0009654648207015,0.0005604574377028,0.0005604301203415,0.0005604311206823,0.0009654470873434,0.0009654470873434,0.0009654470873434,0.0008027827705736,0.0008027890757499,0.0008027827705736,0.0009654810024098,0.0009654486291636,0.0009654486291746,0.0009027279861526,0.0009027279861521,0.0009027279861521,0.0006086970860168,0.0006086520634655,0.0006086653620263,0.001502884894402016
2MBTOHt_b,0.0,0.0,0.0,0.000644087010526,0.000644087010526,0.0006440856330363,0.0006440802259817,0.0006440859947992,0.0006440859947992,0.0002997437409003,0.0002997340051531,0.0002997343616687,0.0,0.0,0.0,0.0003861070670807,0.0003861093142085,0.0003861070670807,0.0006440917618651,0.0006440802242302,0.0006440802242341,0.0006217269552325,0.0006217269552324,0.0006217269552324,0.0003169360683917,0.0003169200226187,0.0003169247621477,0.001507362841148536
3IPM3MT,0.0006086315621363,0.0006086315621363,0.0006086315621363,0.0009654676707113,0.0009654676707113,0.0009654638056373,0.0009654486340782,0.0009654648207015,0.0009654648207015,0.0005604574377028,0.0005604301203415,0.0005604311206823,0.0009654470873434,0.0009654470873434,0.0009654470873434,0.0008027827705736,0.0008027890757499,0.0008027827705736,0.0009654810024098,0.0009654486291636,0.0009654486291746,0.0009027279861526,0.0009027279861521,0.0009027279861521,0.0006086970860168,0.0006086520634655,0.0006086653620263,0.001502884894402016
3MBALDt_b,0.0006086315621363,0.0006086315621363,0.0006086315621363,0.0009654676707113,0.0009654676707113,0.0009654638056373,0.0009654486340782,0.0009654648207015,0.0009654648207015,0.0005604574377028,0.0005604301203415,0.0005604311206823,0.0009654470873434,0.0009654470873434,0.0009654470873434,0.0008027827705736,0.0008027890757499,0.0008027827705736,0.0009654810024098,0.0009654486291636,0.0009654486291746,0.0009027279861526,0.0009027279861521,0.0009027279861521,0.0006086970860168,0.0006086520634655,0.0006086653620263,0.001502884894402016
3MBALDt_f,0.0521112177841746,0.0521112177841746,0.0521112177841746,0.0118620675990037,0.0118620675990037,0.0121120308337348,0.0118928465676051,0.0118430018949962,0.0118430018949962,0.0076731869013899,0.0078578101770825,0.007854816010272,0.0110109501461386,0.0110109501461386,0.0110109501461386,0.0096145800662941,0.0093819598808829,0.0096145800662941,0.0117931571752244,0.0117928465204456,0.0118928465252895,0.0123534788824865,0.012503478882482,0.012503478882482,0.0515706291611271,0.0516768962418648,0.0516703248197515,0.0014298685674213236
3MOBtm_b,0.0003,0.0003,0.0003,0.0002,0.0002,0.0003,0.0003,0.0003,0.0003,0.0003,0.0003,0.0003,0.0,0.0,0.0,0.0,0.0,0.0,0.0003,0.0003,0.0003,0.0006,0.0006,0.0006,0.0003,0.0003,0.0003,0.001615492562930804
3MOBtm_f,0.0,0.0,0.0,0.0001,0.0001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03408383458492487
