Rxns,L-arabinose,D-fructose,D-galactose,D-galacturonic acid,D-glucose,D-glucuronic acid,D-mannose,L-rhamnose,D-xylose,averageFlux,log2FC_L-arabinose,log2FC_D-fructose,log2FC_D-galactose,log2FC_D-galacturonic acid,log2FC_D-glucose,log2FC_D-glucuronic acid,log2FC_D-mannose,log2FC_L-rhamnose,log2FC_D-xylose
10FTHFGLULL,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0001,0.0001,2.22222222222222e-05,,,,,,,,2.169925001442314,2.169925001442314
13BGH,0.0024132602959901,0.0038281315537896,0.0038281039681064,0.0022221761432787,0.0038280550479291,0.0031830897033018,0.0038281039486338,0.0036793700862529,0.0025134186672025,0.0032581899349428,-0.433087173602992,0.23256970123584714,0.2325593050749038,-0.5520975295770386,0.2325408684418499,-0.03364289324277209,0.23255929773627765,0.1753880881668922,-0.3744197026752127
2HP6MPMOm,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2MBALDt_b,0.0005097949057431,0.000783387043604,0.0007500490259553,0.0004773469711048,0.0007500407188367,0.0007071860408526,0.0007500490226486,0.0007078116105225,0.0005098217987045,0.0006606096819969,-0.37388115720799003,0.24592715369226387,0.18318678439145297,-0.4687598090790516,0.18317080582903686,0.09829168351026761,0.18318677803112254,0.09956731293398716,-0.3738050534292144
2MBALDt_f,0.0006086315621363,0.0009654663823533,0.0009654594251604,0.0005604395595755,0.0009654470873434,0.000802784872299,0.0009654594202493,0.0009027279861522,0.0006086715038362,0.0008161208665673,-0.42321367909609664,0.24244319574286036,0.24243279958195527,-0.5422240350701442,0.24241436294891663,-0.023769398735792275,0.24243279224325243,0.14550850465843337,-0.42311900473931274
2MBTOHt_b,0.0,0.0006440865513628,0.0006440840718601,0.0002997373692407,0.0,0.0003861078161233,0.0006440840701098,0.0006217269552324,0.0003169269510527,0.000395194864998,,0.7046903672640843,0.7046848133938365,-0.39886524066322854,,-0.03356044166480368,0.7046848094733092,0.653716927629334,-0.31841385141631345
2PHETOHt_f,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3IPM3MT,0.0006086315621363,0.0009654663823533,0.0009654594251604,0.0005604395595755,0.0009654470873434,0.000802784872299,0.0009654594202493,0.0009027279861522,0.0006086715038362,0.0008161208665673,-0.42321367909609664,0.24244319574286036,0.24243279958195527,-0.5422240350701442,0.24241436294891663,-0.023769398735792275,0.24243279224325243,0.14550850465843337,-0.42311900473931274
3MBALDt_b,0.0006086315621363,0.0009654663823533,0.0009654594251604,0.0005604395595755,0.0009654470873434,0.000802784872299,0.0009654594202493,0.0009027279861522,0.0006086715038362,0.0008161208665673,-0.42321367909609664,0.24244319574286036,0.24243279958195527,-0.5422240350701442,0.24241436294891663,-0.023769398735792275,0.24243279224325243,0.14550850465843337,-0.42311900473931274
3MBALDt_f,0.0521112177841746,0.0119453886772474,0.0118596167858658,0.0077952710295815,0.0110109501461386,0.0095370400044903,0.0118262834069865,0.0124534788824835,0.0516392834075811,0.0200198366805055,1.3801637645403484,-0.744976408133228,-0.7553728113628091,-1.3607591156890486,-0.8624912389808982,-1.069816730969027,-0.7594334492749315,-0.6848813890630998,1.3670387757863331
3MOBtm_b,0.0003,0.0002333333333333,0.0003,0.0003,0.0,0.0,0.0003,0.0006,0.0003,0.0002592592592592,0.21056698593998782,-0.15200309344492646,0.21056698593998782,0.21056698593998782,,,0.21056698593998782,1.210566985939988,0.21056698593998782
3MOBtm_f,0.0,6.66666666666667e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.40740740740741e-06,,3.1699250014423126,,,,,,,
3OPHB_5tm_b,0.0001,3.33333333333333e-05,0.0001,0.0001,0.0001,6.66666666666667e-05,6.66666666666667e-05,0.0001,0.0001,8.51851851851852e-05,0.23132554610645553,-1.353636954614702,0.23132554610645553,0.23132554610645553,0.23132554610645553,-0.3536369546147,-0.3536369546147,0.23132554610645553,0.23132554610645553
3hppdCv_b,0.0001,3.33333333333333e-05,0.0001333333333333,3.33333333333333e-05,0.0001,3.33333333333333e-05,0.0,3.33333333333333e-05,0.0001,6.2962962962963e-05,0.6674246609131282,-0.9175378398080295,1.0824621601916113,-0.9175378398080295,0.6674246609131282,-0.9175378398080295,,-0.9175378398080295,0.6674246609131282
